#gender,age,occupation,zip,imrovement
M,25,6,94404,3
M,18,18,60435,3
M,45,5,32953,1
F,18,4,90024,3
M,25,14,06880,2
M,25,5,45011,4
M,35,14,53403,4
M,25,6,77034,2
M,50,20,95236,2
M,56,16,95407,2
M,25,4,02140,3
F,25,19,60201,3
M,25,15,94022,3
F,1,10,74114,1
M,18,0,92103,3
M,35,1,56082,3
M,25,0,44691,3
M,56,1,42503,4
M,18,16,94110,4
F,56,1,01060,2
M,25,16,10003,1
M,25,1,60657,3
F,18,4,78705-5221,3
M,35,14,75034,3
M,25,12,94114,4
F,25,0,55110,3
F,56,1,55305,2
F,56,13,92119,3
M,18,12,55076,1
F,35,3,55127,4
M,25,12,98112,2
M,18,14,32825,0
M,35,17,22810,1
M,25,0,22015,3
M,1,10,08035,3
M,25,16,17350,4
M,25,5,80227,1
M,45,16,30102,3
M,35,14,01746,3
M,25,7,63303,2
M,35,1,55454,2
M,18,17,88076,3
F,25,0,55108,3
M,25,0,22101,3
M,25,14,24450,1
M,18,18,52301,3
M,25,17,98033,4
M,25,4,55417,3
M,56,7,48114,3
M,35,7,48104,3
M,35,0,13207,2
M,56,1,23608,2
M,56,7,48114,3
M,45,12,48130,3
M,45,7,33135,3
M,18,0,38111,2
F,45,2,43229,3
F,18,20,55410,3
F,18,4,19010,2
M,25,12,97370,3
M,50,5,89432,4
M,18,2,97211,3
M,18,0,80203,0
M,35,7,19406,3
F,25,7,60607,3
F,25,20,94591,1
M,35,12,55110,3
M,35,6,50265,2
M,35,17,06074,4
M,25,1,14982,1
F,35,3,50322,2
M,18,4,23112,3
M,35,12,14619,3
M,25,0,52556,3
M,25,20,14450,2
F,45,2,98383,3
M,45,1,81004,2
F,25,1,92037,1
M,18,4,48202,3
M,18,0,80302,2
M,18,4,55427,2
M,18,4,55455,2
M,25,0,48162,4
M,45,16,01982,2
F,35,1,98126,3
M,45,18,60482,2
M,25,14,91214,1
F,25,14,37076,3
M,50,16,20015,3
M,25,2,30303,0
F,35,1,46774,3
F,45,0,11217,2
M,45,17,48116,2
M,25,6,70508,3
F,25,20,46835,3
M,25,5,33025,3
F,50,2,48118,2
F,45,7,37877,4
M,56,13,60506,2
M,18,7,10038,2
M,56,13,37922,1
M,25,12,30316,3
M,45,15,92028,1
M,1,10,55317,1
M,35,19,20871,2
M,45,7,92104,1
M,35,17,95401,2
F,18,3,33314,3
M,45,12,90277,4
M,35,1,91711,4
M,1,10,06437,2
M,1,10,79358,2
M,25,14,37931,4
F,25,7,02494,2
F,25,20,24015,1
F,25,17,91007,4
M,18,4,02451,3
M,35,14,68108,3
M,25,7,55112,2
M,56,13,30673,3
F,18,4,44515,1
M,35,2,78006,2
M,35,2,55423,3
F,25,14,11215,3
F,18,7,11215,3
M,25,16,01890,3
M,18,17,02140,4
M,50,0,88004,3
F,18,4,02142,2
M,18,12,53713,1
M,18,4,42101,1
M,35,3,55042,2
M,18,12,30318,1
F,45,1,92106,3
M,25,17,54915,2
M,25,12,27511,2
F,18,0,19143,4
M,45,7,02116,3
M,1,10,08805,4
M,25,12,01864,2
F,25,4,48823,3
M,18,4,43210,4
M,35,7,60188,3
M,18,4,48135,3
M,35,14,30030,1
M,35,17,30701,3
F,45,20,02476,2
M,45,0,74354,3
M,35,12,60563,2
M,25,12,95030,2
M,18,7,10014,2
M,45,14,46804,4
M,35,7,90069,2
M,50,15,07746,3
M,18,4,53715,4
M,35,17,99508,1
M,25,20,48009,4
M,25,1,85364,2
M,18,4,10010,3
M,25,0,84108,2
M,35,0,85621,2
F,35,3,02113,2
F,50,9,24018,3
M,18,4,10003,4
M,25,12,15217,4
M,25,0,21555,2
M,25,14,30342,2
M,25,20,10012,1
M,35,17,20009,2
M,25,15,06510,4
M,45,7,55066,3
F,25,2,27705,0
F,25,7,60422,2
F,25,6,21014,3
M,45,17,15204,1
M,35,12,94025,3
M,50,17,07650,2
F,25,9,37221,3
M,35,20,55116,2
M,45,8,21559,2
F,25,14,07030,3
M,35,2,20818,4
F,35,16,97330,3
F,56,13,60506,3
M,50,13,77459,2
M,1,10,49544,3
M,45,16,94546,2
F,18,4,92054,2
F,35,0,98117,1
M,45,0,98031,2
M,25,12,90712,3
M,50,16,98103,2
M,35,7,54016,3
F,25,1,95617,1
M,35,1,44077,2
F,18,14,22203,2
M,25,16,22112,4
F,25,0,33067-1400,2
M,25,4,75206,1
F,18,4,77005,2
M,18,19,27028,3
M,35,6,90803,2
M,25,3,96813,3
M,35,20,77024,1
F,25,17,01453,2
M,56,1,44256,2
F,25,2,90020,2
F,18,16,91780,2
F,25,7,10019,2
M,56,3,10023,4
M,45,7,60139,4
F,50,0,33313,3
M,45,11,03301,4
F,35,3,28262,1
F,25,1,83705,1
M,50,1,91030,3
F,1,2,78945,0
M,25,17,27408,4
M,50,17,09056,2
F,18,4,63141,3
M,25,16,67204,2
M,18,12,55109,3
M,18,2,55304,3
F,25,20,91403,3
M,35,4,98125,3
F,50,7,94611,3
M,35,17,92630,3
M,1,10,97801,3
F,18,1,94607,4
M,50,1,98541,4
F,35,19,92867,4
M,25,2,55113,2
M,25,12,90240,1
F,25,14,55408,3
F,25,3,02155,3
M,25,20,98033,4
M,56,0,72227-5733,1
F,45,9,85202,5
F,50,7,94949,1
M,50,16,55405-2546,2
M,35,0,63366,2
F,35,6,07950,3
M,18,4,53211,3
M,25,5,85281,5
F,18,2,98102,2
M,18,4,66044,2
M,25,4,48072,3
M,45,3,75074,2
M,25,14,02465,3
F,25,14,90046,3
F,18,4,93940,3
M,25,18,14620,2
M,25,4,65804,1
F,25,1,37153,1
F,18,12,84107,2
M,35,0,95118,3
M,25,7,02135,3
M,35,14,55330,4
F,50,2,60657,2
M,35,2,92821,1
F,25,1,55104,1
M,1,10,95123,2
F,45,5,95136,2
M,50,1,91403,1
M,35,16,65270,1
M,56,13,54720,3
M,18,12,55122,1
M,25,11,02143,0
M,18,2,02322,2
M,25,7,40515,3
F,50,8,84770,3
M,25,17,28804,2
M,18,4,60630,3
F,18,4,90025,4
F,25,7,43214,3
F,35,0,10014,2
M,25,20,55092,3
M,50,14,50265-2850,2
F,25,14,10033,3
M,50,14,02651,2
F,35,1,14618,2
M,35,7,60610,2
M,25,12,56301,3
F,35,20,94025,1
F,56,20,63026,3
M,50,16,80206,2
F,25,1,55413,4
M,25,16,97401,1
M,18,4,54703,1
F,25,1,55455,3
M,50,1,55406,1
M,35,16,19003,2
F,35,0,04287,3
M,50,1,93105,1
F,35,1,19348,1
M,45,3,50312,3
F,18,0,55105,3
F,35,1,23062,2
M,18,4,02141,2
F,18,4,72227,3
M,25,2,55106,2
F,35,14,55346,2
M,25,17,55418,3
M,35,1,80026,2
M,18,4,10461-1301,3
F,45,0,08081,2
M,35,17,55402,2
M,18,7,20037,3
M,45,11,22122,2
M,25,4,55405,1
M,35,17,22124,2
M,25,1,56187,3
M,18,5,55104,1
M,18,0,55013,3
M,25,17,55454,2
M,56,1,90024,2
F,45,0,08901,3
F,45,16,48103,2
F,25,3,41030,2
M,50,16,55347,2
M,25,19,31401,2
M,50,7,19462,4
M,35,5,96707-1321,2
M,56,13,49423,4
M,50,12,48104,3
M,50,20,48104,3
M,45,12,94103,1
M,25,17,02140,4
F,18,4,02138,2
F,18,4,02464,3
M,45,16,78204,3
F,25,3,79411,2
F,1,10,02131,2
M,35,1,83301,2
M,25,4,43201,3
F,35,7,10024,2
F,1,0,44260,3
F,56,2,99701,4
M,50,20,20009,1
M,18,4,02026,3
M,25,5,54703,2
M,45,13,89109,1
M,25,0,60645,0
F,25,9,49442,4
F,35,7,89128,2
M,18,5,55116,3
M,25,0,96818,2
M,35,16,66046,1
M,50,7,19072,3
M,25,12,55433,4
F,56,2,949702,2
M,35,20,55121,3
M,50,17,55113,2
M,25,16,11576,3
F,18,4,53706,1
M,35,6,96158,4
F,18,14,48126,3
M,18,17,72703,1
M,56,7,39211,2
F,45,9,13035,3
M,50,14,13210,3
M,18,1,14620,3
M,25,6,23235,3
M,25,0,71731,3
M,25,4,01002,2
M,50,7,08816,2
M,25,12,68508,2
M,25,0,91604,2
F,35,9,46815,3
M,25,7,85040,3
M,35,7,48197,4
M,18,0,97005,3
M,25,5,48103,4
M,45,12,37853,3
M,25,7,55429,2
M,45,7,01545,2
M,25,1,55403,3
M,25,0,02135,2
M,56,17,53705,2
M,50,1,54016,3
F,25,2,95123,2
M,25,16,21203,1
M,25,0,45237,2
M,25,3,07661,2
M,25,11,07002,2
M,35,7,93906,3
F,35,3,99504,2
M,45,11,06416,1
M,50,11,49008,0
M,25,12,03110,1
M,35,1,49417,2
M,25,0,20008,4
M,35,0,44130,4
F,56,1,06437,3
M,18,12,53715,3
M,25,15,94062,2
M,25,2,98502,2
M,35,7,19149,3
M,25,15,68516,2
F,45,16,55116,1
M,56,1,40601,2
M,45,16,93448,3
F,25,4,87110,4
F,56,6,77005,2
M,35,2,62263-3004,5
M,25,0,53213,3
F,18,4,02142,3
M,35,7,53404,2
M,25,0,40515,2
M,25,0,53213,3
F,1,1,90802,3
M,35,5,41144,3
F,45,1,97361,2
M,18,12,98105,3
M,25,7,90069,3
M,35,20,94574,3
M,25,17,60659,4
M,45,14,55416,3
M,18,0,15237,3
F,25,2,10028,2
F,50,17,87031,3
F,45,0,10036,4
M,35,11,46033,1
M,18,4,90024,2
M,56,13,72949,4
F,18,4,14620,2
M,18,4,06459,4
M,25,7,24210,2
M,35,17,12159,3
M,25,4,60201,3
M,35,12,95051,1
M,35,7,54016,3
M,35,7,20191,3
M,45,16,55011,3
M,45,1,02135,3
M,25,14,02134,2
F,25,0,78240,2
F,25,1,60551,2
F,25,9,48306,2
M,50,2,60660,3
M,35,16,92630,2
M,25,7,55112,3
M,25,11,85258,2
F,25,3,92116,1
M,50,0,44139,3
M,25,0,16101,3
M,25,12,44060,2
M,35,0,90027,2
F,56,8,90210,2
M,45,7,55555,3
M,18,20,61801,1
M,25,11,55555,2
F,50,9,91941,2
M,25,7,10025,2
M,18,12,60622,2
F,18,4,64093,3
M,50,18,95472,2
M,25,17,02149,3
F,35,20,20036,2
M,18,12,55401,3
M,18,4,60062,3
F,50,20,88005,2
M,25,7,18615,3
M,25,18,64055,3
M,35,7,95031,3
F,18,0,20815,1
M,25,20,22936,3
F,56,11,54401,2
M,18,12,01702,2
M,25,12,01915,5
M,25,7,63110,4
M,45,1,52001,1
M,45,2,60626,0
F,50,1,65203,2
M,25,0,43223,2
F,18,4,55449,4
M,25,17,75240,4
M,25,14,75230,3
M,35,7,76248,2
M,35,0,72058,3
M,18,0,75149,2
M,18,4,13655,3
M,18,1,43623,2
F,45,2,73069,3
F,25,3,84770,3
F,18,16,80260,2
M,25,20,98101,3
M,25,7,94025,4
M,50,3,92103,2
M,35,17,92618,2
M,25,12,98103,2
M,25,4,46254,3
M,25,20,94519,3
M,25,0,11215,0
F,18,14,60610,2
M,45,7,85287-2702,4
M,25,2,66044,1
F,25,9,55409,3
F,35,20,14850,3
M,25,2,33334,3
M,56,13,02115,2
M,25,12,63146,3
M,25,20,20009,1
M,18,17,12054,2
M,25,11,10549,3
M,56,17,23464-3016,1
F,45,1,01379,2
M,35,1,53703,5
M,35,6,20901,3
M,25,5,55057,3
M,18,1,15213,2
F,18,4,5849574,0
F,25,0,37211,0
M,35,12,76109,4
M,35,12,94538,2
M,35,17,01890,4
F,25,1,98027,4
M,25,6,53217,2
M,18,20,18104,3
M,25,12,53045,2
M,18,4,04901,5
M,18,18,65265,2
F,35,0,20037,2
F,18,4,92612,3
F,18,4,22310,3
M,18,4,94111,3
M,18,4,85701,2
M,35,1,55343,3
F,35,0,98622,2
F,25,1,54880,4
F,35,14,38018,3
M,45,1,08840,3
M,25,14,48336,3
M,35,7,07028,2
M,25,0,55317,2
F,35,0,55406,2
M,45,14,55076,3
F,25,0,50613,3
M,56,20,87107,3
M,25,17,19801,3
M,35,15,55117,4
M,25,11,55409,3
F,25,5,90262,0
F,25,0,07026,3
F,50,13,94702,2
M,1,10,58078,2
F,25,7,19806,1
M,50,2,87020,3
M,18,1,06279,2
M,25,17,32308,2
M,56,7,93711,3
M,45,20,98027,4
M,25,17,90804,4
M,18,7,10016,2
F,35,0,52405,4
F,25,1,22307,3
M,25,20,92101,3
F,25,9,41075,5
M,35,3,48827,4
F,25,9,98632,3
M,35,17,27587,3
M,56,1,49042,0
M,25,7,35244,3
M,50,7,40601,2
M,35,0,62704,2
F,25,9,46580,3
M,35,14,32068,2
M,25,2,55113,1
F,35,0,85024,2
F,25,4,66044,1
M,35,1,55110,3
M,50,15,55126,3
F,35,1,46815,4
F,18,4,02138,4
M,35,20,55407,3
M,18,10,55419,3
F,56,7,10019,2
M,25,0,60611,3
M,25,20,60615,2
M,18,4,02143,1
M,25,17,60611,4
F,18,4,24060,3
F,25,4,91740,2
M,25,2,92024,1
M,35,17,89015,1
F,35,20,66205,3
F,25,7,78757,4
M,25,6,68131,3
M,25,0,55408,3
F,35,7,55111,4
M,25,6,68128,4
F,56,13,03261,2
F,50,0,04259,3
M,35,0,53202,2
F,25,0,91107,4
M,50,15,02474,3
F,18,4,94121,1
M,56,20,91030,3
F,18,0,91107,2
M,25,17,61265,3
M,25,0,02131,1
M,25,14,98109,1
F,25,4,01002,3
M,50,7,30066,3
M,25,4,01002,3
M,25,4,19103,4
F,25,0,60640,2
M,35,7,02135,2
F,18,3,10017,4
M,35,6,54751,1
F,35,5,02021,4
M,25,0,21532,0
M,35,3,29425,0
M,25,11,55408,1
M,25,7,42518,1
F,18,1,86314,2
M,56,7,94612,2
M,25,7,92612,3
M,18,12,53188,1
F,25,15,27603,2
M,18,4,45231,4
F,25,0,27713,4
M,25,1,60615,2
M,25,17,45233,3
M,1,10,60148,2
M,25,12,45140,3
F,25,1,27515,0
M,25,12,94112,3
F,25,11,97370,1
M,35,16,11229,2
M,56,17,55105,3
M,45,16,55076,3
M,18,18,55113,2
M,35,0,85310,3
M,35,1,60016,4
M,50,7,23233,2
M,45,12,53718,3
F,25,7,10016,3
M,45,7,11201,0
M,18,4,07508,2
M,25,0,10006,2
M,35,7,10011,3
F,50,4,53562,2
F,50,1,33149,0
M,35,7,77079,2
M,45,17,45255,3
M,25,2,22903,3
M,18,14,25301,4
M,50,7,37938,2
F,45,9,01520,2
M,25,17,95035,3
F,35,14,45243,3
M,56,0,01606,1
F,25,14,94010,0
F,50,0,46970,3
M,25,7,55439,2
M,18,4,92802,3
F,25,11,10022,3
M,35,7,13021,1
M,18,4,85013,3
F,50,6,95014,3
M,45,1,48309,3
M,25,0,80906,0
M,18,6,21202,2
F,50,18,04849,1
M,35,6,84102,2
M,25,14,27605,3
M,25,2,30606,3
F,50,1,10706,3
M,25,7,29662,3
F,25,1,94939,3
F,50,1,62221,2
M,25,7,48070,1
M,25,5,46254,2
M,25,17,83713,2
M,25,5,10463,2
M,25,7,11793,2
F,45,2,14850,3
M,18,4,52241,5
M,45,12,37914,2
M,25,12,98033,1
F,35,9,53806,2
M,25,7,37930,2
M,25,7,15209,2
M,56,1,37922,2
F,18,4,02912,2
M,25,7,22903,2
M,45,12,80303,2
M,25,3,50311,3
M,35,11,48640,2
M,35,7,11050,3
M,35,17,55126,3
M,25,2,43202,3
F,1,0,27245,5
M,45,17,93401,2
M,25,2,60626,3
M,35,7,55124,2
F,50,2,22181,4
F,35,7,92316,3
M,45,1,44406,3
F,25,11,55409,2
M,25,0,77058,2
M,25,2,55344,1
M,35,17,68506,3
M,18,4,57103,3
F,25,4,77006,3
M,35,0,40504,3
M,45,1,16673,4
M,50,7,84093,3
F,18,4,11024,1
M,25,4,84111,3
M,50,7,10014,3
M,1,1,30707,1
F,35,9,56007,3
M,35,1,53706,2
M,56,2,08825,3
F,35,6,90035,1
M,1,8,02254,1
F,35,12,45249,2
M,18,20,76135,2
M,25,12,98074,2
M,35,12,20171,2
M,50,13,33710,1
M,50,2,33134,2
F,25,14,48067,2
M,1,10,02446,1
M,35,12,55082,3
M,25,16,55421,2
F,35,9,06830,2
M,25,11,75230,2
F,56,1,93105,3
M,25,14,05448,2
M,1,10,43357,3
M,25,12,83001,4
M,35,5,58703,2
F,25,0,13326,4
F,25,7,10562,0
F,18,0,28270,3
M,45,17,92111,2
F,25,14,80230,4
F,35,3,55405,2
M,45,0,92679,2
F,25,0,19143,3
M,25,0,47401,3
F,18,4,91604,4
M,18,4,10027,2
M,25,20,87103,3
M,25,4,74074,2
M,35,17,30145,2
F,25,4,78705,1
M,25,0,60660,3
M,50,12,98056,2
M,25,1,56082,1
M,35,1,95380,3
F,18,4,68516,3
M,35,14,11784,5
M,35,17,48083,4
M,25,1,20120-6354,4
M,45,7,64138,3
M,18,12,91423,3
M,56,19,91790-1161,3
M,50,18,72601,3
M,35,7,02766,2
M,35,1,50014,4
M,25,4,70115,4
M,25,17,99003,2
M,25,20,17022,2
M,25,0,45801,3
M,25,17,75044,4
F,25,0,94110,3
M,18,4,07030,4
M,56,2,90680,3
F,25,7,55122,5
F,25,14,55418,4
M,50,11,25302,4
M,35,0,30741,3
M,25,1,92101,3
M,25,11,20008,0
M,18,0,48314,2
F,35,1,98026,3
M,25,12,90278,3
M,45,7,30253,4
F,25,0,44107,3
F,25,20,75226,3
M,35,15,33167,2
M,50,17,78666,4
F,25,17,20120,2
M,50,7,94709,1
M,45,1,92407,4
M,18,4,191004,2
M,35,1,91768,4
F,25,17,01701,2
M,18,4,16101,3
F,1,10,76501,3
F,50,16,98257,2
F,25,1,45241,3
F,25,15,64116,3
M,35,18,90804,4
F,18,0,20008,2
F,35,12,17013,2
F,18,4,10039,1
M,18,4,48073,1
M,35,8,10014,2
M,18,6,60611,2
M,56,13,14843,3
M,18,19,12133,3
F,1,10,10562,0
M,25,15,97333,4
M,25,0,47303,2
F,35,16,45238,4
M,35,12,45243,1
M,35,6,95370,4
M,25,15,55902,3
M,25,12,27514,3
M,25,7,94301,2
F,18,14,22206,3
M,50,1,48105,2
M,18,19,30350,4
M,25,2,55103,3
F,25,4,19119,2
F,25,2,97333,0
M,50,16,12866,3
M,25,17,35205,3
M,18,4,48135,4
F,18,2,95008,2
M,18,4,78749,2
M,18,4,11209,2
F,25,14,21046,4
F,45,0,12833-2000,3
M,50,7,02461,3
M,18,18,92123,2
M,18,4,02906,4
M,35,7,64055,2
F,1,10,79605,2
M,25,17,95014,3
M,25,20,01267,4
M,25,17,95136,3
M,25,14,90292,3
F,25,7,27516,4
M,18,0,54901,2
F,18,4,55455,1
F,50,6,79410,3
M,18,17,10804,2
M,35,7,55901,3
F,25,12,94530,2
M,25,2,07026,2
F,25,3,94117,2
M,18,4,06430,3
M,45,3,90006,3
M,35,15,20723,2
M,35,16,99352,2
M,35,17,78749,2
M,35,7,80910,3
M,25,15,98103,4
F,25,3,90020,1
M,35,3,20122,2
M,25,15,98102,2
M,25,17,53406,3
M,45,17,32837,2
M,25,12,36115,2
M,35,2,20818,3
F,45,1,26505,3
F,35,0,17870,3
F,25,2,43617,3
M,18,18,90605,1
M,1,10,75633,2
M,56,6,33030,4
M,35,14,98125,4
M,25,17,98661,3
M,25,0,98178,2
M,18,18,56002,3
F,45,17,55419,3
M,25,0,92155,4
M,45,16,60302,4
M,25,0,22306,2
M,56,13,63122,2
M,25,3,94118,1
M,35,7,15203,2
F,25,3,38134,2
M,18,4,26201,1
M,50,1,19087-3622,3
F,18,4,06268,1
M,50,15,12740,3
F,35,15,43065,1
M,35,14,85331,3
M,25,17,95926,3
F,50,1,28043,2
F,50,1,98499,2
F,25,4,91428,4
M,25,0,17821,4
M,18,12,55057,3
M,25,2,97205,5
M,25,0,45245,4
M,25,12,27713-9225,3
M,45,16,60126,4
M,18,10,04576,3
M,25,15,55455,2
F,1,10,90291,3
M,25,0,27403,2
M,1,10,60148,4
F,18,4,14850,1
M,35,7,10021,2
M,25,1,55116,3
F,25,0,94063,1
M,25,12,22903,4
F,25,0,60622,3
M,18,4,80521,2
M,45,6,01950,3
F,35,0,78253,1
M,1,10,44906,3
F,25,20,60612,4
F,25,0,93940,0
F,25,1,46807,4
M,25,6,60060,2
F,25,20,85013,1
M,35,7,98144,4
M,1,10,51537,2
M,18,4,48104,4
M,25,4,22903,4
M,56,7,28754,0
F,25,4,22903,1
M,25,4,22902,2
M,25,7,22902,4
M,25,4,22903,2
M,25,4,22901,2
M,25,2,94117,2
F,25,1,77707,1
M,25,1,16508,1
M,56,0,61704,2
M,45,7,92503,2
M,35,7,62234,3
M,18,4,53142,2
F,18,1,48067,3
M,18,3,48604,1
M,18,12,10549,2
F,35,3,77429,2
M,25,4,94107,3
M,45,7,35216,4
M,25,7,98115,2
M,35,17,19360,1
M,56,13,49423,0
M,25,15,37923,1
M,25,11,60603,1
M,45,11,02155,1
M,35,7,30071,3
F,45,2,27514,4
F,25,9,28147,4
M,45,14,19382,2
M,35,0,20795,2
M,25,2,90210,2
M,18,2,63138,4
F,18,4,63146,3
M,18,4,55410,4
M,25,16,55426,0
M,50,7,17402,2
M,35,12,27614,3
M,25,12,60613,3
F,35,7,30350,2
M,45,6,23452,2
M,25,16,60614,3
F,35,6,23507,3
F,18,6,92145,2
F,18,2,55408,2
F,45,6,60031,3
M,45,12,44312,2
M,18,17,20742,3
M,18,4,22032,3
M,18,4,22401,2
M,25,7,22314,2
F,25,0,94115,3
F,25,0,94703,3
F,25,6,54729,1
F,25,20,93401,1
F,18,0,94587,3
F,25,0,94110,3
M,35,7,94550,4
M,1,10,90210,2
M,45,17,56001,3
M,50,20,55419,4
M,45,17,54022,1
F,25,4,55407,2
F,18,4,48433,3
F,56,13,92407,2
M,25,20,55455,5
M,56,1,04032,1
M,45,1,97405,2
M,18,4,06459,1
M,25,4,55455,2
F,35,16,95828,4
F,25,16,94706,2
M,35,5,04901,3
M,18,4,91501,1
M,25,12,95158,3
M,35,17,94550,2
M,25,14,94110,3
M,25,7,94041,3
F,18,4,93107,3
M,25,14,94105,4
M,56,13,94134,4
F,25,7,08902,2
M,18,1,95814,2
M,25,20,48309,3
M,18,20,44089,2
M,18,20,94608,2
M,1,1,444555,3
M,25,12,98037,2
F,18,4,64151,4
M,25,0,10469,0
M,35,11,22030,1
M,50,7,90505,3
M,18,4,06511,3
M,25,12,98102,3
M,18,4,85259,3
M,25,17,38104,2
M,18,0,77341,2
M,25,17,94108,1
M,50,5,80220,2
M,18,4,02139,3
M,1,10,19343,3
M,25,17,44118,2
M,18,4,55455,3
M,35,2,89012,0
M,25,20,98119,3
F,25,4,97233,2
